arch_idx,stage,int8_kb,overflow_kb,board
688,infeasible,1120.6719,1120,nrf5340dk
690,infeasible,865.1172,865,nrf5340dk
695,infeasible,905.3828,905,nrf5340dk
697,infeasible,862.7969,862,nrf5340dk
707,infeasible,905.3828,905,nrf5340dk
708,infeasible,905.4766,905,nrf5340dk
722,infeasible,913.4609,913,nrf5340dk
732,infeasible,960.4609,960,nrf5340dk
742,infeasible,1130.1562,1130,nrf5340dk
747,infeasible,951.7969,951,nrf5340dk
749,infeasible,1000.6797,1000,nrf5340dk
750,infeasible,873.7422,873,nrf5340dk
770,infeasible,914.0312,914,nrf5340dk
815,infeasible,867.8984,867,nrf5340dk
818,infeasible,853.5547,853,nrf5340dk
820,infeasible,873.7422,873,nrf5340dk
840,infeasible,1161.7031,1161,nrf5340dk
852,infeasible,951.7031,951,nrf5340dk
857,infeasible,957.0,957,nrf5340dk
862,infeasible,1000.6797,1000,nrf5340dk
869,infeasible,908.1719,908,nrf5340dk
873,infeasible,1164.2031,1164,nrf5340dk
910,infeasible,856.5547,856,nrf5340dk
915,infeasible,790.6797,,nrf5340dk_1
937,infeasible,870.9141,870,nrf5340dk
945,infeasible,1126.8203,1126,nrf5340dk
982,infeasible,750.4531,,nrf5340dk_3
983,infeasible,1377.0,1377,nrf5340dk
985,infeasible,862.9375,862,nrf5340dk
996,infeasible,905.3828,905,nrf5340dk
1021,infeasible,914.0312,914,nrf5340dk
1024,infeasible,1124.0312,1124,nrf5340dk
1027,infeasible,905.3828,905,nrf5340dk
1042,infeasible,902.875,902,nrf5340dk
1053,infeasible,914.0312,914,nrf5340dk
1058,infeasible,856.5547,856,nrf5340dk
1062,infeasible,1170.4531,1170,nrf5340dk
1080,infeasible,920.1562,920,nrf5340dk
1086,infeasible,911.625,911,nrf5340dk
1093,infeasible,911.5234,911,nrf5340dk
1120,infeasible,960.4531,960,nrf5340dk
1145,infeasible,1115.3828,1115,nrf5340dk
1149,infeasible,911.625,911,nrf5340dk
1160,infeasible,1420.6797,1420,nrf5340dk
1161,infeasible,865.2109,865,nrf5340dk
1167,infeasible,957.5625,957,nrf5340dk
1177,infeasible,867.0469,867,nrf5340dk
1189,infeasible,911.625,911,nrf5340dk
1195,infeasible,960.4531,960,nrf5340dk
1197,infeasible,865.2031,865,nrf5340dk
1252,infeasible,957.1016,957,nrf5340dk
1256,infeasible,747.5625,,nrf5340dk_1
1275,infeasible,1170.4609,1170,nrf5340dk
1277,infeasible,1115.4766,1115,nrf5340dk
1300,infeasible,865.1094,865,nrf5340dk
1301,infeasible,908.2734,908,nrf5340dk
1316,infeasible,865.2031,865,nrf5340dk
1317,infeasible,908.1719,908,nrf5340dk
1327,infeasible,871.4766,871,nrf5340dk
1330,infeasible,873.7422,873,nrf5340dk
1335,infeasible,960.3594,960,nrf5340dk
1346,infeasible,1167.1016,1167,nrf5340dk
1361,infeasible,1167.0938,1167,nrf5340dk
1396,infeasible,905.3828,905,nrf5340dk
1406,infeasible,856.5547,856,nrf5340dk
1414,infeasible,1170.4531,1170,nrf5340dk
1438,infeasible,867.9844,867,nrf5340dk
1458,infeasible,868.1328,868,nrf5340dk
1459,infeasible,957.0,957,nrf5340dk
1462,infeasible,1630.6797,1630,nrf5340dk
1467,infeasible,911.2422,911,nrf5340dk
1469,infeasible,867.9844,867,nrf5340dk
1472,infeasible,916.8203,916,nrf5340dk
1498,infeasible,790.6797,,nrf5340dk_3
1555,infeasible,957.1016,957,nrf5340dk
1556,infeasible,910.6719,910,nrf5340dk
1577,infeasible,913.9453,913,nrf5340dk
1604,infeasible,911.5234,911,nrf5340dk
1619,infeasible,1120.6719,1120,nrf5340dk
1632,infeasible,905.4766,905,nrf5340dk
1641,infeasible,867.6172,867,nrf5340dk
1646,infeasible,856.5781,856,nrf5340dk
1653,infeasible,870.9141,870,nrf5340dk
1654,infeasible,1377.1016,1377,nrf5340dk
1716,infeasible,1210.6797,1210,nrf5340dk
1724,infeasible,960.3594,960,nrf5340dk
1729,infeasible,911.5234,911,nrf5340dk
1731,infeasible,951.7969,951,nrf5340dk
1734,infeasible,951.7969,951,nrf5340dk
1788,infeasible,917.2734,917,nrf5340dk
1792,infeasible,908.1641,908,nrf5340dk
1797,infeasible,856.5547,856,nrf5340dk
1807,infeasible,867.6172,867,nrf5340dk
1840,infeasible,747.1016,,nrf5340dk_3
1843,infeasible,951.7969,951,nrf5340dk
1848,infeasible,1121.6172,1121,nrf5340dk
1856,infeasible,873.7422,873,nrf5340dk
1865,infeasible,951.7969,951,nrf5340dk
1869,infeasible,1170.3594,1170,nrf5340dk
1877,infeasible,914.4531,914,nrf5340dk
1896,infeasible,951.7969,951,nrf5340dk
1897,infeasible,868.1328,868,nrf5340dk
1913,infeasible,916.8203,916,nrf5340dk
1927,infeasible,911.5156,911,nrf5340dk
1932,infeasible,913.9453,913,nrf5340dk
1947,infeasible,868.0391,868,nrf5340dk
1951,infeasible,920.1562,920,nrf5340dk
1960,infeasible,871.3516,871,nrf5340dk
2005,infeasible,908.7344,908,nrf5340dk
2006,infeasible,856.5547,856,nrf5340dk
2008,infeasible,871.3828,871,nrf5340dk
2018,infeasible,747.0,,nrf5340dk_3
2030,infeasible,1126.8203,1126,nrf5340dk
2037,infeasible,859.0625,859,nrf5340dk
2053,infeasible,908.0781,908,nrf5340dk
2066,infeasible,913.9375,913,nrf5340dk
2074,infeasible,750.4609,,nrf5340dk_3
2083,infeasible,859.0703,859,nrf5340dk
2105,infeasible,865.2031,865,nrf5340dk
2107,infeasible,920.1562,920,nrf5340dk
2126,infeasible,951.7969,951,nrf5340dk
2142,infeasible,911.5234,911,nrf5340dk
2167,infeasible,1115.4766,1115,nrf5340dk
2188,infeasible,957.0938,957,nrf5340dk
2199,infeasible,951.7969,951,nrf5340dk
2209,infeasible,905.3828,905,nrf5340dk
2210,infeasible,957.1016,957,nrf5340dk
2212,infeasible,957.0,957,nrf5340dk
2217,infeasible,911.5312,911,nrf5340dk
2227,infeasible,856.5547,856,nrf5340dk
2229,infeasible,920.1562,920,nrf5340dk
2235,infeasible,859.9219,859,nrf5340dk
2246,infeasible,954.3047,954,nrf5340dk
2260,infeasible,908.1719,908,nrf5340dk
2263,infeasible,871.2422,871,nrf5340dk
2282,infeasible,861.8516,861,nrf5340dk
2292,infeasible,916.8203,916,nrf5340dk
2301,infeasible,916.8203,916,nrf5340dk
2314,infeasible,856.5547,856,nrf5340dk
2320,infeasible,865.2031,865,nrf5340dk
2342,infeasible,859.0703,859,nrf5340dk
2344,infeasible,747.1016,,nrf5340dk_2
2352,infeasible,960.3594,960,nrf5340dk
2354,infeasible,868.1328,868,nrf5340dk
2375,infeasible,920.1562,920,nrf5340dk
2376,infeasible,1124.5391,1124,nrf5340dk
2387,infeasible,1164.3047,1164,nrf5340dk
2401,infeasible,951.7031,951,nrf5340dk
2403,infeasible,920.1562,920,nrf5340dk
2406,infeasible,868.5469,868,nrf5340dk
2409,infeasible,1124.4531,1124,nrf5340dk
2419,infeasible,908.7344,908,nrf5340dk
2424,infeasible,1374.3047,1374,nrf5340dk
2462,infeasible,1118.1797,1118,nrf5340dk
2477,infeasible,877.0859,877,nrf5340dk
2500,infeasible,917.3672,917,nrf5340dk
2507,infeasible,856.5625,856,nrf5340dk
2510,infeasible,861.7656,861,nrf5340dk
2513,infeasible,867.9844,867,nrf5340dk
2515,infeasible,954.2031,954,nrf5340dk
2519,infeasible,750.4531,,nrf5340dk_2
2531,infeasible,914.5391,914,nrf5340dk
2551,infeasible,856.1484,856,nrf5340dk
2553,infeasible,856.5625,856,nrf5340dk
2554,infeasible,1170.4609,1170,nrf5340dk
2570,infeasible,911.5312,911,nrf5340dk
2577,infeasible,1130.1562,1130,nrf5340dk
2581,infeasible,1167.0,1167,nrf5340dk
2594,infeasible,868.1328,868,nrf5340dk
2601,infeasible,856.5859,856,nrf5340dk
2604,infeasible,1127.2734,1127,nrf5340dk
2629,infeasible,1112.8672,1112,nrf5340dk
2630,infeasible,1121.5234,1121,nrf5340dk
2632,infeasible,951.7031,951,nrf5340dk
2651,infeasible,868.1328,868,nrf5340dk
2658,infeasible,864.6328,864,nrf5340dk
2686,infeasible,856.5547,856,nrf5340dk
2700,infeasible,916.8203,916,nrf5340dk
2701,infeasible,916.8203,916,nrf5340dk
2720,infeasible,747.0,,nrf5340dk_1
2725,infeasible,905.3828,905,nrf5340dk
2743,infeasible,957.0,957,nrf5340dk
2758,infeasible,750.3594,,nrf5340dk_3
2767,infeasible,1118.7344,1118,nrf5340dk
2769,infeasible,865.2031,865,nrf5340dk
2777,infeasible,910.6719,910,nrf5340dk
2778,infeasible,1123.4609,1123,nrf5340dk
2786,infeasible,951.7031,951,nrf5340dk
2807,infeasible,750.4531,,nrf5340dk_3
2819,infeasible,908.7344,908,nrf5340dk
2841,infeasible,1161.7969,1161,nrf5340dk
2847,infeasible,862.4219,862,nrf5340dk
2856,infeasible,911.4297,911,nrf5340dk
2875,infeasible,856.5547,856,nrf5340dk
2889,infeasible,1000.6797,1000,nrf5340dk
2906,infeasible,910.6719,910,nrf5340dk
2934,infeasible,957.0938,957,nrf5340dk
2943,infeasible,856.5547,856,nrf5340dk
2954,infeasible,1210.6797,1210,nrf5340dk
2969,infeasible,859.9141,859,nrf5340dk
2978,infeasible,960.3594,960,nrf5340dk
2982,infeasible,954.2031,954,nrf5340dk
2996,infeasible,914.0312,914,nrf5340dk
3038,infeasible,868.4609,868,nrf5340dk
3050,infeasible,1118.4062,1118,nrf5340dk
3055,infeasible,914.4531,914,nrf5340dk
3059,infeasible,750.3594,,nrf5340dk_3
3074,infeasible,873.7422,873,nrf5340dk
3077,infeasible,914.0312,914,nrf5340dk
3082,infeasible,911.5312,911,nrf5340dk
3088,infeasible,865.6328,865,nrf5340dk
3118,infeasible,877.0859,877,nrf5340dk
3119,infeasible,917.3672,917,nrf5340dk
3123,infeasible,920.1562,920,nrf5340dk
3147,infeasible,951.7109,951,nrf5340dk
3158,infeasible,865.2109,865,nrf5340dk
3166,infeasible,910.6719,910,nrf5340dk
3174,infeasible,747.0938,,nrf5340dk_2
3175,infeasible,916.8203,916,nrf5340dk
3234,infeasible,871.4766,871,nrf5340dk
3250,infeasible,1118.7344,1118,nrf5340dk
3272,infeasible,908.4062,908,nrf5340dk
3273,infeasible,868.1328,868,nrf5340dk
3275,infeasible,905.3828,905,nrf5340dk
3276,infeasible,874.2578,874,nrf5340dk
3296,infeasible,750.3594,,nrf5340dk_2
3298,infeasible,913.9453,913,nrf5340dk
3310,infeasible,1126.8203,1126,nrf5340dk
3353,infeasible,873.7344,873,nrf5340dk
3380,infeasible,908.2656,908,nrf5340dk
3383,infeasible,868.1328,868,nrf5340dk
3385,infeasible,747.0,,nrf5340dk_3
3424,infeasible,747.1016,,nrf5340dk_1
3433,infeasible,865.1094,865,nrf5340dk
3434,infeasible,1124.0312,1124,nrf5340dk
3456,infeasible,1118.0781,1118,nrf5340dk
3464,infeasible,1126.8203,1126,nrf5340dk
3473,infeasible,865.1172,865,nrf5340dk
3477,infeasible,861.8516,861,nrf5340dk
3506,infeasible,865.2031,865,nrf5340dk
3533,infeasible,911.6172,911,nrf5340dk
3558,infeasible,954.3047,954,nrf5340dk
3575,infeasible,1130.1562,1130,nrf5340dk
3588,infeasible,874.2578,874,nrf5340dk
3592,infeasible,917.3672,917,nrf5340dk
3607,infeasible,954.2031,954,nrf5340dk
3619,infeasible,867.8984,867,nrf5340dk
3621,infeasible,1000.6797,1000,nrf5340dk
3645,infeasible,864.7812,864,nrf5340dk
3653,infeasible,856.5781,856,nrf5340dk
3655,infeasible,913.9375,913,nrf5340dk
3682,infeasible,911.6172,911,nrf5340dk
3692,infeasible,1161.7969,1161,nrf5340dk
3694,infeasible,911.6172,911,nrf5340dk
3695,infeasible,951.7969,951,nrf5340dk
3697,infeasible,914.5469,914,nrf5340dk
3705,infeasible,905.3828,905,nrf5340dk
3715,infeasible,871.4766,871,nrf5340dk
3721,infeasible,867.8984,867,nrf5340dk
3731,infeasible,957.0,957,nrf5340dk
3738,infeasible,957.0938,957,nrf5340dk
3754,infeasible,920.1562,920,nrf5340dk
3767,infeasible,1210.6797,1210,nrf5340dk
3771,infeasible,960.3594,960,nrf5340dk
3775,infeasible,920.1562,920,nrf5340dk
3779,infeasible,750.4609,,nrf5340dk_2
3787,infeasible,905.4766,905,nrf5340dk
3803,infeasible,951.7109,951,nrf5340dk
3805,infeasible,1118.7344,1118,nrf5340dk
3818,infeasible,747.1016,,nrf5340dk_2
3849,infeasible,1167.5625,1167,nrf5340dk
3862,infeasible,917.2812,917,nrf5340dk
3877,infeasible,911.4297,911,nrf5340dk
3888,infeasible,957.0,957,nrf5340dk
3922,infeasible,865.1094,865,nrf5340dk
3928,infeasible,1161.7109,1161,nrf5340dk
3931,infeasible,954.2031,954,nrf5340dk
3968,infeasible,920.1562,920,nrf5340dk
3986,infeasible,861.7656,861,nrf5340dk
3990,infeasible,951.7969,951,nrf5340dk
4013,infeasible,750.4531,,nrf5340dk_1
4037,infeasible,1124.0312,1124,nrf5340dk
4041,infeasible,957.5625,957,nrf5340dk
4050,infeasible,916.8203,916,nrf5340dk
4056,infeasible,873.7422,873,nrf5340dk
4062,infeasible,913.4609,913,nrf5340dk
4075,infeasible,870.9141,870,nrf5340dk
4080,infeasible,951.7969,951,nrf5340dk
4102,infeasible,856.5547,856,nrf5340dk
4114,infeasible,908.4062,908,nrf5340dk
4125,infeasible,1000.6797,1000,nrf5340dk
4133,infeasible,957.5625,957,nrf5340dk
4135,infeasible,747.1016,,nrf5340dk_1
4137,infeasible,865.1172,865,nrf5340dk
4141,infeasible,1120.5859,1120,nrf5340dk
4150,infeasible,914.4531,914,nrf5340dk
4182,infeasible,859.0703,859,nrf5340dk
4184,infeasible,1164.2031,1164,nrf5340dk
4191,infeasible,910.6719,910,nrf5340dk
4192,infeasible,750.3594,,nrf5340dk_3
4193,infeasible,750.3594,,nrf5340dk_1
4197,infeasible,750.4609,,nrf5340dk_1
4201,infeasible,864.7812,864,nrf5340dk
4208,infeasible,747.0,,nrf5340dk_3
4212,infeasible,750.4531,,nrf5340dk_3
4237,infeasible,957.0,957,nrf5340dk
4239,infeasible,868.0391,868,nrf5340dk
4244,infeasible,957.0,957,nrf5340dk
4252,infeasible,750.4531,,nrf5340dk_2
4258,infeasible,868.5469,868,nrf5340dk
4263,infeasible,856.5547,856,nrf5340dk
4264,infeasible,908.1641,908,nrf5340dk
4266,infeasible,865.1172,865,nrf5340dk
4269,infeasible,1167.5625,1167,nrf5340dk
4275,infeasible,747.1016,,nrf5340dk_1
4281,infeasible,856.5547,856,nrf5340dk
4358,infeasible,917.2812,917,nrf5340dk
4381,infeasible,905.3828,905,nrf5340dk
4385,infeasible,861.7656,861,nrf5340dk
4386,infeasible,747.5625,,nrf5340dk_2
4403,infeasible,911.75,911,nrf5340dk
4404,infeasible,1210.6797,1210,nrf5340dk
4418,infeasible,908.0781,908,nrf5340dk
4422,infeasible,957.1016,957,nrf5340dk
4424,infeasible,750.4531,,nrf5340dk_3
4441,infeasible,954.3047,954,nrf5340dk
4452,infeasible,920.1562,920,nrf5340dk
4453,infeasible,916.8203,916,nrf5340dk
4454,infeasible,1170.3594,1170,nrf5340dk
4463,infeasible,871.3281,871,nrf5340dk
4470,infeasible,856.1562,856,nrf5340dk
4479,infeasible,910.6719,910,nrf5340dk
4487,infeasible,856.5703,856,nrf5340dk
4490,infeasible,908.7344,908,nrf5340dk
4503,infeasible,877.0859,877,nrf5340dk
4511,infeasible,911.5312,911,nrf5340dk
4533,infeasible,856.5625,856,nrf5340dk
4536,infeasible,856.5781,856,nrf5340dk
4550,infeasible,902.875,902,nrf5340dk
4557,infeasible,1167.0,1167,nrf5340dk
4572,infeasible,859.5859,859,nrf5340dk
4580,infeasible,960.3594,960,nrf5340dk
4624,infeasible,914.0312,914,nrf5340dk
4626,infeasible,902.8672,902,nrf5340dk
4638,infeasible,902.8672,902,nrf5340dk
4655,infeasible,1167.1016,1167,nrf5340dk
4681,infeasible,1000.6797,1000,nrf5340dk
4693,infeasible,1121.7578,1121,nrf5340dk
4694,infeasible,870.4062,870,nrf5340dk
4698,infeasible,905.3828,905,nrf5340dk
4707,infeasible,750.3594,,nrf5340dk_3
4708,infeasible,914.5391,914,nrf5340dk
4729,infeasible,957.1016,957,nrf5340dk
4747,infeasible,908.0781,908,nrf5340dk
4787,infeasible,790.6797,,nrf5340dk_3
4796,infeasible,1118.1719,1118,nrf5340dk
4797,infeasible,856.5547,856,nrf5340dk
4807,infeasible,957.1016,957,nrf5340dk
4824,infeasible,917.2734,917,nrf5340dk
4825,infeasible,747.5625,,nrf5340dk_2
4843,infeasible,905.4766,905,nrf5340dk
4872,infeasible,859.5,859,nrf5340dk
4892,infeasible,867.0469,867,nrf5340dk
4893,infeasible,856.5547,856,nrf5340dk
4907,infeasible,867.8984,867,nrf5340dk
4926,infeasible,957.0938,957,nrf5340dk
4942,infeasible,911.5312,911,nrf5340dk
4954,infeasible,1126.8203,1126,nrf5340dk
4986,infeasible,905.3828,905,nrf5340dk
4997,infeasible,1126.8203,1126,nrf5340dk
5000,infeasible,911.4297,911,nrf5340dk
5020,infeasible,871.3281,871,nrf5340dk
5025,infeasible,913.9375,913,nrf5340dk
5059,infeasible,862.9375,862,nrf5340dk
5063,infeasible,951.7969,951,nrf5340dk
5069,infeasible,954.2031,954,nrf5340dk
5071,infeasible,916.8203,916,nrf5340dk
5081,infeasible,960.3594,960,nrf5340dk
5090,infeasible,957.0,957,nrf5340dk
5095,infeasible,1170.3594,1170,nrf5340dk
5111,infeasible,747.0,,nrf5340dk_2
5115,infeasible,1210.6797,1210,nrf5340dk
5116,infeasible,920.1562,920,nrf5340dk
5169,infeasible,905.4766,905,nrf5340dk
5176,infeasible,1161.7969,1161,nrf5340dk
5187,infeasible,911.2422,911,nrf5340dk
5206,infeasible,750.3594,,nrf5340dk_3
5207,infeasible,1210.6797,1210,nrf5340dk
5210,infeasible,913.9453,913,nrf5340dk
5236,infeasible,873.7422,873,nrf5340dk
5262,infeasible,856.5781,856,nrf5340dk
5266,infeasible,750.4531,,nrf5340dk_3
5277,infeasible,865.2031,865,nrf5340dk
5282,infeasible,856.5547,856,nrf5340dk
5292,infeasible,1167.0,1167,nrf5340dk
5301,infeasible,914.4531,914,nrf5340dk
5304,infeasible,1118.8203,1118,nrf5340dk
5315,infeasible,1170.4531,1170,nrf5340dk
5335,infeasible,864.6328,864,nrf5340dk
5374,infeasible,908.1719,908,nrf5340dk
5396,infeasible,865.2109,865,nrf5340dk
5402,infeasible,856.5547,856,nrf5340dk
5436,infeasible,865.2031,865,nrf5340dk
5463,infeasible,908.7344,908,nrf5340dk
5478,infeasible,914.4531,914,nrf5340dk
5481,infeasible,902.4688,902,nrf5340dk
5497,infeasible,905.3828,905,nrf5340dk
5505,infeasible,913.4609,913,nrf5340dk
5521,infeasible,868.4609,868,nrf5340dk
5524,infeasible,859.9141,859,nrf5340dk
5525,infeasible,1161.7031,1161,nrf5340dk
5526,infeasible,957.0938,957,nrf5340dk
5544,infeasible,864.7812,864,nrf5340dk
5557,infeasible,868.5469,868,nrf5340dk
5563,infeasible,1420.6797,1420,nrf5340dk
5584,infeasible,951.7109,951,nrf5340dk
5590,infeasible,1126.8203,1126,nrf5340dk
5596,infeasible,960.3594,960,nrf5340dk
5609,infeasible,1121.5312,1121,nrf5340dk
5617,infeasible,910.5781,910,nrf5340dk
5652,infeasible,867.9844,867,nrf5340dk
5655,infeasible,747.0,,nrf5340dk_3
5664,infeasible,914.5469,914,nrf5340dk
5676,infeasible,873.7422,873,nrf5340dk
5682,infeasible,871.3828,871,nrf5340dk
5698,infeasible,1371.7031,1371,nrf5340dk
5719,infeasible,917.2812,917,nrf5340dk
5721,infeasible,1420.6797,1420,nrf5340dk
5734,infeasible,870.9141,870,nrf5340dk
5745,infeasible,747.0938,,nrf5340dk_1
5749,infeasible,910.5859,910,nrf5340dk
5791,infeasible,1130.1562,1130,nrf5340dk
5801,infeasible,861.8516,861,nrf5340dk
5805,infeasible,960.4531,960,nrf5340dk
5821,infeasible,911.5234,911,nrf5340dk
5836,infeasible,856.5547,856,nrf5340dk
5840,infeasible,1115.4688,1115,nrf5340dk
5848,infeasible,856.5781,856,nrf5340dk
5883,infeasible,861.7578,861,nrf5340dk
5887,infeasible,1170.4531,1170,nrf5340dk
5902,infeasible,867.9922,867,nrf5340dk
5916,infeasible,908.1719,908,nrf5340dk
5941,infeasible,871.4766,871,nrf5340dk
5962,infeasible,856.5547,856,nrf5340dk
5978,infeasible,954.3047,954,nrf5340dk
5982,infeasible,877.0859,877,nrf5340dk
6009,infeasible,960.4609,960,nrf5340dk
6019,infeasible,908.7344,908,nrf5340dk
6022,infeasible,957.0,957,nrf5340dk
6030,infeasible,914.0312,914,nrf5340dk
6038,infeasible,916.8203,916,nrf5340dk
6039,infeasible,873.7422,873,nrf5340dk
6049,infeasible,870.9141,870,nrf5340dk
6057,infeasible,1115.3828,1115,nrf5340dk
6058,infeasible,1124.0312,1124,nrf5340dk
6063,infeasible,856.5625,856,nrf5340dk
6105,infeasible,856.5703,856,nrf5340dk
6111,infeasible,1167.0,1167,nrf5340dk
6118,infeasible,1167.0938,1167,nrf5340dk
6134,infeasible,860.0078,860,nrf5340dk
6149,infeasible,914.4531,914,nrf5340dk
6154,infeasible,1115.3828,1115,nrf5340dk
6170,infeasible,908.1719,908,nrf5340dk
6188,infeasible,914.0312,914,nrf5340dk
6189,infeasible,951.7031,951,nrf5340dk
6221,infeasible,908.7344,908,nrf5340dk
6230,infeasible,1127.2812,1127,nrf5340dk
6233,infeasible,870.4062,870,nrf5340dk
6237,infeasible,868.1328,868,nrf5340dk
6265,infeasible,951.7109,951,nrf5340dk
6271,infeasible,1121.5312,1121,nrf5340dk
6304,infeasible,910.6719,910,nrf5340dk
6315,infeasible,908.2734,908,nrf5340dk
6324,infeasible,902.8672,902,nrf5340dk
6329,infeasible,865.2031,865,nrf5340dk
6338,infeasible,790.6797,,nrf5340dk_1
6361,infeasible,790.6797,,nrf5340dk_2
6375,infeasible,954.3047,954,nrf5340dk
6416,infeasible,1123.9453,1123,nrf5340dk
6420,infeasible,1371.7969,1371,nrf5340dk
6423,infeasible,868.6875,868,nrf5340dk
6430,infeasible,868.5625,868,nrf5340dk
6433,infeasible,862.4141,862,nrf5340dk
6495,infeasible,870.9531,870,nrf5340dk
6497,infeasible,868.1328,868,nrf5340dk
6512,infeasible,920.1562,920,nrf5340dk
6516,infeasible,913.9453,913,nrf5340dk
6526,infeasible,868.1328,868,nrf5340dk
6556,infeasible,960.4609,960,nrf5340dk
6563,infeasible,1121.5234,1121,nrf5340dk
6571,infeasible,870.9141,870,nrf5340dk
6575,infeasible,859.0703,859,nrf5340dk
6585,infeasible,916.8203,916,nrf5340dk
6593,infeasible,856.5781,856,nrf5340dk
6598,infeasible,957.5625,957,nrf5340dk
6599,infeasible,871.2422,871,nrf5340dk
6612,infeasible,914.5391,914,nrf5340dk
6640,infeasible,905.3828,905,nrf5340dk
6651,infeasible,905.4688,905,nrf5340dk
6655,infeasible,856.5547,856,nrf5340dk
6657,infeasible,1161.7969,1161,nrf5340dk
6676,infeasible,960.4531,960,nrf5340dk
6679,infeasible,911.4297,911,nrf5340dk
6687,infeasible,960.4609,960,nrf5340dk
6697,infeasible,910.6719,910,nrf5340dk
6702,infeasible,960.4531,960,nrf5340dk
6722,infeasible,865.2109,865,nrf5340dk
6724,infeasible,908.2656,908,nrf5340dk
6732,infeasible,951.7031,951,nrf5340dk
6759,infeasible,747.1016,,nrf5340dk_1
6765,infeasible,911.5234,911,nrf5340dk
6797,infeasible,957.0938,957,nrf5340dk
6864,infeasible,920.1562,920,nrf5340dk
6872,infeasible,750.3594,,nrf5340dk_2
6891,infeasible,911.625,911,nrf5340dk
6895,infeasible,870.9531,870,nrf5340dk
6903,infeasible,957.5625,957,nrf5340dk
6914,infeasible,914.4531,914,nrf5340dk
6929,infeasible,910.6719,910,nrf5340dk
6932,infeasible,750.4531,,nrf5340dk_3
6964,infeasible,911.75,911,nrf5340dk
6971,infeasible,874.2578,874,nrf5340dk
6989,infeasible,911.5156,911,nrf5340dk
6995,infeasible,902.4688,902,nrf5340dk
6997,infeasible,911.6172,911,nrf5340dk
7009,infeasible,856.5781,856,nrf5340dk
7023,infeasible,861.8516,861,nrf5340dk
7036,infeasible,957.0938,957,nrf5340dk
7038,infeasible,873.7422,873,nrf5340dk
7054,infeasible,870.4062,870,nrf5340dk
7060,infeasible,856.5547,856,nrf5340dk
7064,infeasible,1124.0312,1124,nrf5340dk
7121,infeasible,747.5625,,nrf5340dk_2
7129,infeasible,747.0938,,nrf5340dk_2
7135,infeasible,914.0312,914,nrf5340dk
7140,infeasible,747.0938,,nrf5340dk_1
7152,infeasible,911.5312,911,nrf5340dk
7176,infeasible,960.4531,960,nrf5340dk
7184,infeasible,910.6719,910,nrf5340dk
7209,infeasible,1420.6797,1420,nrf5340dk
7243,infeasible,1121.5312,1121,nrf5340dk
7254,infeasible,747.0,,nrf5340dk_2
7277,infeasible,954.3047,954,nrf5340dk
